name,s_price,o_price,rating,rating_count
realme 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Handsfree Voice Search and Dolby Visio...,"₹27,999","₹32,999",4.3,"31,818 Ratings & 3,632 Reviews"
"Dyanora 80 cm (32 inch) HD Ready LED Smart Android TV with Noise Reduction, Android 9.0, Powerful Audi...","₹8,699","₹18,999",4.1,"3,682 Ratings & 476 Reviews"
XElectron Android 11 80 cm (32 inch) HD Ready LED Smart Android TV,"₹8,540","₹19,999",,
SAMSUNG Crystal 4K Neo Series 108 cm (43 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹31,990","₹47,900",4.4,"14,222 Ratings & 1,527 Reviews"
Thomson 9A Series 106 cm (42 inch) Full HD LED Smart Android TV,"₹16,999","₹27,999",4.3,"85,647 Ratings & 17,907 Reviews"
MarQ by Flipkart Innoview 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹18,999","₹34,999",4.3,"5,684 Ratings & 1,043 Reviews"
SAMSUNG Crystal 4K Neo Series 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV with (Black) (2022 Mod...,"₹47,990","₹70,900",4.4,"14,222 Ratings & 1,527 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, (1GB RA...","₹6,999","₹12,999",4.1,"3,682 Ratings & 476 Reviews"
BeethoSOL 109 cm (43 inch) Full HD LED Smart Android TV,"₹15,499","₹41,990",4,223 Ratings & 24 Reviews
,,,,
,,,,
"Dyanora 80 cm (32 inch) HD Ready LED Smart Android TV with Noise Reduction, Android 9.0, Powerful Audi...","₹8,699","₹18,999",4.1,"3,682 Ratings & 476 Reviews"
Mi 4A Horizon Edition 100 cm (40 inch) Full HD LED Smart Android TV with 20W Powerful Audio & Bezel-le...,"₹21,999","₹29,999",4.3,"37,265 Ratings & 3,273 Reviews"
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"13,066 Ratings & 1,860 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,799","₹12,999",3.8,"13,066 Ratings & 1,860 Reviews"
Thomson R9 80 cm (32 inch) HD Ready LED TV,"₹7,499","₹14,990",4.1,"57,999 Ratings & 8,323 Reviews"
TOSHIBA V35KP 80 cm (32 inch) HD Ready LED Smart Android TV with DTS Virtual X (2022 Model),"₹11,490","₹24,990",4.4,"1,121 Ratings & 222 Reviews"
realme 80 cm (32 inch) Full HD LED Smart Android TV,"₹16,499","₹23,999",4.2,"9,343 Ratings & 1,252 Reviews"
Vu 108 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV,"₹23,999","₹40,000",4.4,"24,323 Ratings & 3,813 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"13,066 Ratings & 1,860 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"13,066 Ratings & 1,860 Reviews"
KODAK 7XPRO Series 80 cm (32 inch) HD Ready LED Smart Android TV,"₹9,499","₹18,499",4.4,"36,085 Ratings & 7,930 Reviews"
TCL S5200 108 cm (43 inch) Full HD LED Smart Android TV,"₹21,990","₹47,990",4.2,82 Ratings & 15 Reviews
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8,"13,066 Ratings & 1,860 Reviews"
XElectron Android 11 80 cm (32 inch) HD Ready LED Smart Android TV,"₹8,540","₹19,999",,
Coocaa 80 cm (32 inch) HD Ready LED Smart Coolita TV with Dolby Audio and Eye Care Technology,"₹8,999","₹36,990",4.2,"17,930 Ratings & 2,756 Reviews"
iFFALCON by TCL 79.97 cm (32 inch) HD Ready LED TV,"₹7,999","₹18,990",4.2,"1,468 Ratings & 143 Reviews"
Blaupunkt Cybersound 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & 60W Speaker...,"₹26,999","₹47,999",4.6,"4,552 Ratings & 1,165 Reviews"
TCL S6500 Series 108 cm (43 inch) Full HD LED Smart Android TV,"₹19,990","₹47,990",4.3,"1,646 Ratings & 160 Reviews"
BeethoSOL 109 cm (43 inch) Full HD LED Smart Android TV,"₹15,499","₹41,990",4,223 Ratings & 24 Reviews
"Dyanora 108 cm (43 inch) Full HD LED Smart Android Based TV with Noise Reduction, Android 9.0, Google ...","₹15,999","₹32,999",4.1,"3,682 Ratings & 476 Reviews"
Blaupunkt Cybersound 98 cm (40 Inch) HD Ready LED Smart Android TV with 40W Speaker,"₹14,999","₹23,999",4.4,"9,536 Ratings & 2,145 Reviews"
TOSHIBA C350LP 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV with Dolby Vision Atmos and REGZA En...,"₹26,990","₹34,990",4.3,159 Ratings & 38 Reviews
"Dyanora 109 cm (43 inch) Full HD LED Smart Android TV with Noise Reduction, Android 9.0, Google Voice ...","₹16,649","₹32,999",4.1,"3,682 Ratings & 476 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,599","₹12,499",4.1,"3,682 Ratings & 476 Reviews"
,,,,
,,,,
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,599","₹12,499",4.1,"3,682 Ratings & 476 Reviews"
KODAK CA Series 164 cm (65 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,"₹48,999","₹69,999",4.5,"19,371 Ratings & 5,768 Reviews"
Thomson R9 60 cm (24 inch) HD Ready LED TV,"₹6,999","₹10,499",4.1,"57,999 Ratings & 8,323 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, (1GB RA...","₹6,999","₹12,999",4.1,"3,682 Ratings & 476 Reviews"
MarQ By Flipkart 80 cm (32 inch) HD Ready LED TV,"₹8,999","₹19,999",4.2,"8,615 Ratings & 1,041 Reviews"
KODAK 60 cm (24 inch) HD Ready LED TV,"₹5,999","₹10,499",4,"9,695 Ratings & 1,126 Reviews"
SAMSUNG 109 cm (43 inch) Full HD LED Smart Tizen TV,"₹27,850","₹37,900",,
Vu GloLED 164 cm (65 inch) Ultra HD (4K) LED Smart Google TV with DJ Subwoofer 104W,"₹54,999","₹85,000",4.4,"4,559 Ratings & 758 Reviews"
MOTOROLA Revou 2 1.02 m (40 inch) Full HD LED Smart Android TV with Sound by boAt,"₹17,999","₹30,000",4.3,"1,629 Ratings & 235 Reviews"
Hyundai 109 cm (43 inch) Ultra HD (4K) LED Smart WebOS TV,"₹25,990","₹57,990",4.3,26 Ratings & 9 Reviews
Infinix X3 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹26,999","₹39,999",4.3,379 Ratings & 69 Reviews
LG UQ7500 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,"₹48,490","₹71,990",4.4,"10,620 Ratings & 1,305 Reviews"
KODAK CA Series 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,"₹26,999","₹42,999",4.5,"19,371 Ratings & 5,768 Reviews"
Mi 5X 125.7 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 40W Dolby Atmos,"₹40,999","₹59,999",4.3,"48,681 Ratings & 4,453 Reviews"
Thomson 9R PRO 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV,"₹28,999","₹46,999",4.3,"13,988 Ratings & 3,281 Reviews"
LG 80 cm (32 inch) Full HD LED Smart WebOS TV,"₹18,299","₹30,490",3.8,4 Ratings & 2 Reviews
KODAK CA Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,"₹29,999","₹47,999",4.5,"19,371 Ratings & 5,768 Reviews"
KODAK X900 80 cm (32 inch) HD Ready LED TV,"₹7,499","₹15,999",4.1,"15,115 Ratings & 2,378 Reviews"
Infinix X1 100 cm (40 inch) Full HD LED Smart Android TV,"₹16,999","₹26,990",4.2,"14,556 Ratings & 2,181 Reviews"
Hisense E4G Series 80 cm (32 inch) HD Ready LED Smart Android TV with DTS Virtual X,"₹11,999","₹24,990",4.2,736 Ratings & 134 Reviews
SONY Bravia 108 cm (43 inch) Ultra HD (4K) LED Smart Google TV,"₹47,999","₹69,900",4.6,"2,438 Ratings & 492 Reviews"
KODAK 7XPRO Series 106 cm (42 inch) Full HD LED Smart Android TV,"₹16,999","₹27,999",4.4,"36,085 Ratings & 7,930 Reviews"
TCL P715 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Full Screen & Handsfree Voice Contro...,"₹25,990","₹59,990",4.3,"1,031 Ratings & 109 Reviews"
SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV,"₹27,990","₹38,900",4.4,"4,523 Ratings & 488 Reviews"
,,,,
,,,,
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"13,066 Ratings & 1,860 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,799","₹12,999",3.8,"13,066 Ratings & 1,860 Reviews"
LG UQ8020 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,"₹51,490","₹84,990",4.5,"1,698 Ratings & 241 Reviews"
Mi 5X 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Vision & 40W Dolby Atmos,"₹46,999","₹69,999",4.3,"48,681 Ratings & 4,453 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8,"13,066 Ratings & 1,860 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"13,066 Ratings & 1,860 Reviews"
Hyundai 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹11,990","₹23,990",4.2,54 Ratings & 9 Reviews
KODAK CA PRO 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby MS12 & Dolby Digital Plus,"₹22,999","₹39,999",4.5,"19,371 Ratings & 5,768 Reviews"
Dyanora Sigma 80 cm (32 inch) HD Ready LED Smart Linux TV with 30 Watt Box Speakers & Bezel-Less Desig...,"₹8,499","₹18,499",3.9,66 Ratings & 8 Reviews
SAMSUNG 108 cm (43 inch) Full HD LED Smart Tizen TV,"₹27,990","₹38,900",4.4,"4,523 Ratings & 488 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"13,066 Ratings & 1,860 Reviews"
Dyanora Sigma 108 cm (43 inch) Full HD LED Smart Linux TV with 40 Watt Box Speakers & Bezel-Less Desig...,"₹14,499","₹29,999",3.9,66 Ratings & 8 Reviews
SAMSUNG Crystal 4K 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹46,990","₹69,900",4.3,"11,220 Ratings & 1,146 Reviews"
TOSHIBA M550LP Series 139 cm (55 inch) QLED Ultra HD (4K) Smart Google TV With Bass Woofer and REGZA E...,"₹46,990","₹79,990",4.5,183 Ratings & 40 Reviews
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,599","₹12,499",4.1,"3,682 Ratings & 476 Reviews"
BeethoSOL 60 cm (24 inch) HD Ready LED TV,"₹5,299","₹15,000",4,223 Ratings & 24 Reviews
Thomson OATHPRO Series 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & D...,"₹26,999","₹40,999",4.5,"27,833 Ratings & 7,252 Reviews"
Thomson 9A Series 80 cm (32 inch) HD Ready LED Smart Android TV with Bezel Less Display,"₹9,999","₹15,499",4.3,"7,901 Ratings & 1,780 Reviews"
LG 139 cm (55 inch) Ultra HD (4K) LED Smart WebOS TV,"₹49,990","₹79,990",4.4,"10,620 Ratings & 1,305 Reviews"
Thomson OATHPRO Series 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & D...,"₹30,999","₹49,999",4.5,"27,833 Ratings & 7,252 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, (1GB RA...","₹6,999","₹12,999",4.1,"3,682 Ratings & 476 Reviews"
XElectron Android 11 80 cm (32 inch) HD Ready LED Smart Android TV,"₹8,540","₹19,999",,
Blaupunkt Cybersound 106 cm (42 inch) Full HD LED Smart Android TV with 40W Speaker,"₹16,999","₹29,999",4.4,"9,536 Ratings & 2,145 Reviews"
SONY Bravia 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV,"₹43,990","₹66,900",4.6,912 Ratings & 183 Reviews
,,,,
,,,,
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"13,066 Ratings & 1,860 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"13,066 Ratings & 1,860 Reviews"
Mi 5A Pro 80 cm (32 inch) HD Ready LED Smart Android TV with 24W Dolby Audio & 1.5GB RAM (2022 Model),"₹16,999","₹25,999",4.2,159 Ratings & 13 Reviews
SAMSUNG Crystal 4K 125 cm (50 inch) Ultra HD (4K) LED Smart Tizen TV,"₹43,990","₹68,400",4.3,"11,220 Ratings & 1,146 Reviews"
KODAK 7XPro 126 cm (50 inch) Ultra HD (4K) LED Smart Android TV with 40W Sound Output & Bezel-Less Des...,"₹24,999","₹42,999",4.4,"6,088 Ratings & 1,390 Reviews"
Mi 4X 138.8 cm (55 inch) Ultra HD (4K) LED Smart Android Based TV,"₹36,999","₹49,999",4.3,"48,681 Ratings & 4,453 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"13,066 Ratings & 1,860 Reviews"
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,799","₹12,999",3.8,"13,066 Ratings & 1,860 Reviews"
Thomson 9A Series 98 cm (40 inch) Full HD LED Smart Android TV,"₹15,999","₹21,499",4.3,"85,647 Ratings & 17,907 Reviews"
Mi 4A 100 cm (40 inch) Full HD LED Smart Android TV,"₹19,999",,4.4,"3,23,612 Ratings & 30,752 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8,"13,066 Ratings & 1,860 Reviews"
XElectron Android 11 80 cm (32 inch) HD Ready LED Smart Android TV,"₹8,540","₹19,999",,
Nokia 139 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹39,999","₹70,000",4.3,"1,344 Ratings & 178 Reviews"
KODAK CA Series 108 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Digital Plus & DTS TruS...,"₹20,999","₹37,999",4.5,"19,371 Ratings & 5,768 Reviews"
Coocaa Frameless 108 cm (43 inch) Full HD LED Smart Google TV with HDR 14 Dolby Audio and Eye care tec...,"₹18,999","₹54,990",4.3,23 Ratings & 5 Reviews
Compaq 108 cm (43 inch) Full HD LED Smart Android TV,"₹20,999","₹32,999",4.2,334 Ratings & 72 Reviews
"Dyanora 80 cm (32 inch) HD Ready LED Smart Android TV with Noise Reduction, Android 9.0, Powerful Audi...","₹8,699","₹18,999",4.1,"3,682 Ratings & 476 Reviews"
"Dyanora 108 cm (43 inch) Full HD LED Smart Android Based TV with Noise Reduction, Android 9.0, Google ...","₹15,999","₹32,999",4.1,"3,682 Ratings & 476 Reviews"
LG 139.7 cm (55 inch) Ultra HD (4K) LED Smart TV,"₹52,080","₹62,280",4.8,9 Ratings & 4 Reviews
LG Nanocell 164 cm (65 inch) Ultra HD (4K) LED Smart WebOS TV,"₹1,29,999","₹2,29,900",5,11 Ratings & 0 Reviews
"Dyanora 109 cm (43 inch) Full HD LED Smart Android TV with Noise Reduction, Android 9.0, Google Voice ...","₹16,649","₹32,999",4.1,"3,682 Ratings & 476 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,599","₹12,499",4.1,"3,682 Ratings & 476 Reviews"
SAMSUNG 80 cm (32 inch) HD Ready LED Linux based TV,"₹13,390","₹17,900",3.9,99 Ratings & 3 Reviews
Compaq 127 cm (50 inch) Ultra HD (4K) LED Smart Android TV,"₹26,999","₹43,999",4.2,703 Ratings & 118 Reviews
,,,,
,,,,
Sansui 109 cm (43 inch) Ultra HD (4K) LED Smart Android TV with Dolby Audio and DTS (Mystique Black) (...,"₹26,999","₹35,390",4.1,239 Ratings & 29 Reviews
LG OLED A1 Series 139 cm (55 inch) OLED Ultra HD (4K) Smart WebOS TV,"₹99,999","₹1,89,990",4.1,166 Ratings & 33 Reviews
Adsun Smart Series 60 cm (24 inch) HD Ready LED Smart Android Based TV,"₹6,649","₹18,999",3.8,"13,066 Ratings & 1,860 Reviews"
Adsun 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,264","₹21,999",3.8,"13,066 Ratings & 1,860 Reviews"
SONY Bravia 163.9 cm (65 inch) Ultra HD (4K) LED Smart Google TV with Google TV,"₹88,490","₹1,39,900",4.4,17 Ratings & 4 Reviews
LG UQ7500 164 cm (65 inch) Ultra HD (4K) LED Smart WebOS TV 2022 Edition,"₹72,990","₹1,14,990",4.4,"10,620 Ratings & 1,305 Reviews"
Adsun Frameless 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,549","₹29,999",3.8,"13,066 Ratings & 1,860 Reviews"
Adsun 80 cm (32 inch) HD Ready LED TV,"₹7,599","₹16,999",3.8,"13,066 Ratings & 1,860 Reviews"
"Coocaa 138 cm (55 inch) Ultra HD (4K) LED Smart Android TV with Google Assistant, HDR 10 and Dolby Aud...","₹32,999","₹73,990",4.3,"2,813 Ratings & 630 Reviews"
Candes 81 cm (32 inch) HD Ready LED Smart Android TV,"₹8,890","₹24,490",4,"1,239 Ratings & 249 Reviews"
"Hisense 139 cm (55 inch) Ultra HD (4K) LED Smart Google TV with 102W JBL 6 Speakers, Dolby Vision and ...","₹42,990","₹69,990",4.1,34 Ratings & 8 Reviews
Yuwa Frameless with In-built Soundbar 80 cm (32 inch) HD Ready LED Smart Android Based TV,"₹8,999","₹21,990",3.9,230 Ratings & 39 Reviews
Adsun 60 cm (24 inch) HD Ready LED TV,"₹5,799","₹12,999",3.8,"13,066 Ratings & 1,860 Reviews"
XElectron Android 11 80 cm (32 inch) HD Ready LED Smart Android TV,"₹8,540","₹19,999",,
SAMSUNG 7 138 cm (55 inch) Ultra HD (4K) LED Smart Tizen TV,"₹47,050","₹72,900",,
Infinix X3 80 cm (32 inch) HD Ready LED Smart Android TV,"₹11,499","₹17,999",4.1,"2,283 Ratings & 388 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED Smart Android Based TV with Noise Reduction, Android 9.0, Powerfu...","₹6,599","₹12,499",4.1,"3,682 Ratings & 476 Reviews"
"Dyanora 60 cm (24 inch) HD Ready LED TV with Noise Reduction, Cinema Zoom, Powerful Audio Box Speakers","₹5,599","₹10,999",4.1,"3,682 Ratings & 476 Reviews"
LG 81.28 cm (32 inch) Full HD LED Smart TV,"₹20,899","₹30,490",,
MOTOROLA ZX2 100 cm (40 inch) Full HD LED Smart Android TV with Dolby Atmos and Dolby Vision,"₹24,999","₹39,999",4.4,"10,026 Ratings & 1,570 Reviews"
Candes Frameless 81 cm (32 inch) HD Ready LED TV,"₹7,884","₹22,690",3.9,266 Ratings & 40 Reviews
realme 108 cm (43 inch) Full HD LED Smart Android TV,"₹21,999","₹27,999",4.3,"2,33,706 Ratings & 26,560 Reviews"
"Dyanora 108 cm (43 inch) Full HD LED Smart Android Based TV with Noise Reduction, Android 9.0, Google ...","₹15,999","₹32,999",4.1,"3,682 Ratings & 476 Reviews"
"Dyanora 109 cm (43 inch) Full HD LED Smart Android TV with Noise Reduction, Android 9.0, Google Voice ...","₹16,649","₹32,999",4.1,"3,682 Ratings & 476 Reviews"
,,,,
,,,,
